Auction_Year,Name,Role,Nationality,Winning Bid in Rs,RCB_Matches,RCB_Runs,RCB_Wickets,RCB_Batting_Average,RCB_Strike_Rate,RCB_Economy,Cost_per_Run,Cost_per_Wicket
2021,Kyle Jamieson,All-Rounder,Overseas,150000000,9,65,9,16.25,118.18,8.65,2307692.3076923075,16666666.666666666
2021,Glenn Maxwell,All-Rounder,Overseas,142500000,51,1266,18,27.3,152.9,7.52,112559.24170616113,7916666.666666667
2021,Dan Christian,All-Rounder,Overseas,48000000,9,14,4,2.33,58.33,8.71,3428571.4285714286,12000000.0
2021,Sachin Baby,Batsman,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2021,Rajat Patidar,Batsman,Indian,2000000,38,1111,0,31.91,146.38,0.0,1800.1800180018001,
2021,Mohammed Azharudeen,Wicket Keeper,Indian,2000000,0,0,0,0.0,0.0,0.0,,
2021,Suyash S Prabhudessai,All-Rounder,Indian,2000000,6,91,0,18.7,112.35,0.0,21978.021978021978,
2021,K.S Bharat,Wicket Keeper,Indian,2000000,6,191,0,38.2,118.63,0.0,10471.204188481675,
2022,Faf du Plessis,Batsman,Overseas,70000000,45,1636,0,38.85,144.01,0.0,42787.286063569685,
2022,Wanindu Hasaranga,All-Rounder,Overseas,107500000,0,0,0,0.0,0.0,0.0,,
2022,Harshal Patel,All-Rounder,Indian,107500000,28,49,33,6.88,102.08,7.66,2193877.551020408,3257575.757575758
2022,KD Karthik,Wicket Keeper,Indian,55000000,42,796,0,34.3,162.78,0.0,69095.47738693467,
2022,Josh Hazlewood,Bowler,Overseas,77500000,27,19,45,6.33,63.33,7.99,4078947.3684210526,1722222.2222222222
2022,Shahbaz Ahmed,All-Rounder,Indian,24000000,24,261,5,18.94,109.66,9.64,91954.02298850575,4800000.0
2022,Anuj Rawat,Wicket Keeper,Indian,34000000,20,318,0,23.65,115.64,0.0,106918.2389937107,
2022,Akash Deep,Bowler,Indian,2000000,8,19,7,6.33,158.33,10.56,105263.15789473684,285714.28571428574
2022,Karn Sharma,Bowler,Indian,5000000,0,0,0,0.0,0.0,0.0,,
2022,Mahipal Lomror,All-Rounder,Indian,9500000,27,346,0,16.57,147.23,9.09,27456.647398843932,
2022,Finn Allen,Batsman,Overseas,8000000,0,0,0,0.0,0.0,0.0,,
2022,Sherfane Rutherford,All-Rounder,Overseas,10000000,0,0,0,0.0,0.0,0.0,,
2022,Jason Behrendorff,Bowler,Overseas,7500000,0,0,0,0.0,0.0,0.0,,
